,Source Account,Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
33,BBCWorld,Trump-Kim summit: Abe heads to US amid surge of diplomacy https://t.co/3W3PqnpZNi,Thu Jun 07 05:33:14 +0000 2018,0.0,0.0,1.0,0.0,34
34,BBCWorld,Arizona police violently beat unarmed Robert Johnson https://t.co/chEWF20d3f,Thu Jun 07 05:16:47 +0000 2018,-0.5859,0.0,0.648,0.352,35
35,BBCWorld,Football scandal in West Africa https://t.co/f9fxcesYd0,Thu Jun 07 03:01:45 +0000 2018,-0.4404,0.0,0.633,0.367,36
36,BBCWorld,Guatemala volcano: Emergency agency 'failed to heed warnings' https://t.co/UeFKuBgD8P,Thu Jun 07 01:54:32 +0000 2018,-0.7964,0.0,0.426,0.574,37
37,BBCWorld,Separation of migrant families: What other countries do https://t.co/bummTfGy1s,Wed Jun 06 23:38:56 +0000 2018,0.0,0.0,1.0,0.0,38
38,BBCWorld,Meet the nuns helping save a sacred species from extinction https://t.co/ZnNO70hVWK,Wed Jun 06 23:33:41 +0000 2018,0.6597,0.403,0.597,0.0,39
39,BBCWorld,G7 summit: Trapped in the world's most secure house https://t.co/vi0xs1ZJP0,Wed Jun 06 23:33:40 +0000 2018,-0.1796,0.191,0.568,0.241,40
40,BBCWorld,A North Korean wishlist: The three things Pyongyang wants https://t.co/Jhom6dFvdG,Wed Jun 06 23:33:40 +0000 2018,0.0,0.0,1.0,0.0,41
41,BBCWorld,Ethiopia offers Eritrea chance to end Africa's longest war https://t.co/FJE1bCvTjE,Wed Jun 06 23:17:39 +0000 2018,-0.4404,0.144,0.576,0.281,42
42,BBCWorld,"Storm over India film on women who 'smoke, drink and have sex' https://t.co/TsbQ2QeEcm",Wed Jun 06 23:12:51 +0000 2018,0.0,0.0,1.0,0.0,43
43,BBCWorld,The deadly cost of the US air war in Afghanistan https://t.co/83XJGbbxwJ,Wed Jun 06 23:08:13 +0000 2018,-0.5994,0.0,0.719,0.281,44
44,BBCWorld,Texas man nearly dies after being bitten by severed snake head https://t.co/0eT1E5Po4f,Wed Jun 06 23:08:13 +0000 2018,-0.3612,0.0,0.815,0.185,45
45,BBCWorld,"Kate Spade's husband: Apparent suicide a ""complete shock"" https://t.co/9tgj8h359d",Wed Jun 06 23:03:19 +0000 2018,-0.7964,0.0,0.458,0.542,46
46,BBCWorld,Trump accused of not knowing words to God Bless America https://t.co/FOMRl0Ld0w,Wed Jun 06 22:44:33 +0000 2018,0.4019,0.325,0.53,0.146,47
47,BBCWorld,Backwards commute: Car escapes traffic by driving in reverse https://t.co/R2nutyUeZW,Wed Jun 06 22:10:23 +0000 2018,0.128,0.143,0.857,0.0,48
48,BBCWorld,Slovakia: Why is a Nato state using Soviet-designed jets? https://t.co/ygICxWiyYI,Wed Jun 06 21:55:16 +0000 2018,0.0,0.0,1.0,0.0,49
49,BBCWorld,Scores of Ethiopian migrants drown off Yemen's coast https://t.co/KayTYyusIw,Wed Jun 06 21:18:42 +0000 2018,-0.5719,0.0,0.684,0.316,50
